stop_id,stop_name
1180,Sheridan & Gunnison
1181,Sheridan & Ainslie
1182,Sheridan & Argyle
1183,Sheridan & Winona
1184,Sheridan & Foster
1185,Sheridan & Berwyn
1186,Sheridan & Balmoral
1187,Sheridan & Catalpa
1188,Sheridan & Bryn Mawr
1189,Sheridan & Hollywood
1190,Sheridan & Ardmore
1191,Sheridan & Thorndale
1192,Sheridan & Glenlake
1198,Sheridan & Granville
1199,Sheridan & Rosemont
1200,Sheridan & Kenmore
1201,Sheridan & Winthrop
1203,Sheridan & Arthur (Red Line)
1204,Sheridan & Loyola
1206,Sheridan & North Shore
1208,Sheridan & Pratt
1210,Sheridan & Morse
1211,Sheridan & Lunt
1213,Sheridan & Estes
1214,Sheridan & Touhy
1215,Sheridan & Chase
1216,Sheridan & Sherwin
1217,Sheridan & Jarvis
1220,Howard & Sheridan
1224,Fullerton & Halsted
1225,Fullerton Red/Brown/Purple Line Station
1227,Fullerton & Racine
1228,Fullerton & Surrey Court
1233,Fullerton & Riverfront Mall (1800 W)
1236,Fullerton & Damen
1238,Fullerton & Oakley
1240,Fullerton & Campbell
1241,Fullerton & Rockwell
1242,Fullerton & Washtenaw
1243,Fullerton & California
1246,Fullerton & Albany
1248,Fullerton & Kedzie
1249,Fullerton & Spaulding
1250,Fullerton & Kimball
1251,Fullerton & St. Louis
1252,Fullerton & Central Park
1253,Fullerton & Lawndale
1255,Fullerton & Hamlin
1256,Fullerton & Springfield
1257,Fullerton & Pulaski
1258,Fullerton & Karlov
1259,Fullerton & Keeler
1260,Fullerton & Tripp
1261,Fullerton & Kildare
1262,Fullerton & Kostner
1263,Fullerton & Kilbourn
1264,Fullerton & Kenton
1265,Fullerton & Kilpatrick
1267,Fullerton & Lamon
1269,Fullerton & Leclaire
1270,Fullerton & Laramie
1271,Fullerton & Lockwood
1272,Fullerton & Long
1273,Fullerton & Linder
1275,Fullerton & Major
1277,Fullerton & Marmora
1278,Fullerton & Austin
1279,Fullerton & Meade
1280,Fullerton & Melvina
1281,Fullerton & Mobile
1282,Fullerton & Narragansett
1283,6450 W Fullerton
1286,6450 W Fullerton
1287,2500 N Narragansett
1289,2500 N Narragansett
1291,Fullerton & Mobile
1292,Fullerton & Melvina
1293,Fullerton & Meade
1294,Fullerton & Austin
1295,Fullerton & Marmora
1296,Fullerton & Menard
1297,Fullerton & Major
1299,Fullerton & Linder
1301,Fullerton & Lockwood
1302,Fullerton & Laramie
1303,Fullerton & Leclaire
1304,Fullerton & Lavergne
1305,Fullerton & Lamon
1306,Fullerton & Cicero
1307,Fullerton & Kilpatrick
1308,Fullerton & Kenton
1309,Fullerton & Kilbourn
1310,Fullerton & Kostner
1311,Fullerton & Kildare
1312,Fullerton & Tripp
1313,Fullerton & Keeler
